timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1403715278.66214 0.010385 -0.030610 0.024993 0.568727 -0.589543 0.393082 0.417703 0.0008039986 -0.0000000118 -0.0000000025 0.0008040317 0.0000000089 0.0008039961 0.0137340913 0.0000001838 -0.0000252021 0.0137336305 0.0000747041 0.0027054312
1403715278.71214 0.013723 -0.039507 0.036223 0.566599 -0.589660 0.395649 0.418006 0.0008451749 -0.0000000173 -0.0000000037 0.0008452306 0.0000000142 0.0008451722 0.0163186020 0.0000003228 -0.0000376163 0.0163178209 0.0001085310 0.0027383788
1403715278.76214 0.017417 -0.049361 0.050656 0.564135 -0.588805 0.399041 0.419317 0.0008883393 -0.0000000226 -0.0000000052 0.0008884280 0.0000000244 0.0008883388 0.0193639240 0.0000005244 -0.0000535405 0.0193626870 0.0001517848 0.0027754101
1403715278.81214 0.021383 -0.059799 0.067423 0.562564 -0.587900 0.401481 0.420367 0.0009334891 -0.0000000282 -0.0000000068 0.0009336246 0.0000000384 0.0009334920 0.0229237719 0.0000007953 -0.0000732881 0.0229219362 0.0002047000 0.0028168691
1403715278.86191 0.011049 -0.034515 0.083753 0.557765 -0.588348 0.405534 0.422241 0.0007534808 0.0000102783 -0.0001215159 0.0001616501 0.0000109031 0.0001882138 0.0028654224 -0.0000767202 0.0000659011 0.0032783223 -0.0000534895 0.0028042806
1403715278.91131 0.016016 -0.059424 0.092436 0.556273 -0.588284 0.409037 0.420916 0.0003813859 0.0000021826 -0.0001147150 0.0000261397 -0.0000001998 0.0000522965 0.0025559669 -0.0000027665 0.0000089422 0.0025760138 0.0000185662 0.0026145244
1403715278.96106 0.016628 -0.067298 0.115028 0.556348 -0.588318 0.409167 0.420644 0.0003792428 -0.0000006710 -0.0001137222 0.0000224743 0.0000007003 0.0000501847 0.0025538073 -0.0000021489 0.0000079604 0.0025735266 0.0000136572 0.0026076339
1403715279.01090 0.016921 -0.074172 0.131054 0.556973 -0.587721 0.408432 0.421365 0.0003761690 -0.0000011192 -0.0001149104 0.0000198800 0.0000005017 0.0000493186 0.0025527805 -0.0000020017 0.0000073094 0.0025730215 0.0000096678 0.0026086545
1403715279.06072 0.017822 -0.080559 0.142353 0.557572 -0.587882 0.407531 0.421221 0.0003731829 -0.0000015041 -0.0001161713 0.0000172727 0.0000003815 0.0000485108 0.0025516832 -0.0000017321 0.0000062647 0.0025723739 0.0000068313 0.0026081591
1403715279.11072 0.019220 -0.087346 0.148991 0.557787 -0.587856 0.406865 0.421616 0.0003707732 -0.0000016911 -0.0001169363 0.0000148823 0.0000003086 0.0000475547 0.0025505835 -0.0000014428 0.0000052524 0.0025716825 0.0000050194 0.0026039466
